"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
ESPETARIA UBATUBA RESTAURANTE E BAR LTDA - ME;ESPETARIA UBATUBA RESTAURANTE E BAR LTDA - ME;"20.246.178/0001-24";Sociedade Empresária;"01/12/2005";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;11.680.000;SP;Ubatuba;Ubatuba;AV GUARANI, 663 - LOJA 5 E 6;(12) 3833-4532;;espetariaubatuba@gmail.com;;;"26.077454.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";120;Espanhol ,Francês ,Inglês
R.O SALES -ME;RESTAURANTE NOSSO PONTO;"84.330.125/0001-70";Sociedade Empresária;"20/06/1994";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.906.380;AC;Rio Branco;Floresta;CONJ. CASTELO BRANCO-07 QD.09;(68) 3227-1929;(68) 9987-5414;geraldinho.sales@hotmail.com;;;"01.037461.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";60;Inglês
ANTONIA SILVA BATISTA DA SILVA ME 15101830265;EXPLOSÃO DE SABORES;"24.302.637/0001-09";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;68.250.000;PA;Óbidos;Óbidos;RUA JUSTO CHERMONT 1598;(93) 3547-2791;;vanessabc9195@gmail.com;;;"14.089641.15.0001-5";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";48;Nenhuma das Opções
"2B1A COMÉRCIO VAREJISTA DE  ALIMENTOS E BEBIDAS LTDA - ME";DETROIT STEAKHOUSE;"24.845.192/0001-03";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;70.200.002;DF;Brasília;Asa Sul;ST SCES TRECHO 02 S/N CONJ. 32/33 LOJA RO3B ;(61) 61924-7024;;contato@volpeconsultoria.com;;;"07.080714.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";;
AAJ RESTAURANTE 157DF LTDA -ME;****;"24.341.559/0001-43";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;Restaurante;71.909.720;DF;Taguatinga;Norte (Águas Claras);R 13 NORTE LOTE 01 E 03, RUA 14 NORTE LOTE 02 E 04 ;(61) 9255-5423;;contato@volpe.com;;;"07.078056.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;Inglês
ABDUL AHAD SAAD EMPORIO LTDA - ME;ABDUL AHAD SAAD EMPORIO LTDA - ME;"19.287.700/0001-37";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;Restaurante;79.020.260;MS;Campo Grande;Centro;R. GENERAL ODORICO QUADROS, 629;(67) 3042-8888;;elianemsdd@gmail.com;;;"12.077069.15.0001-7";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";100;Espanhol ,Hebraico ,Inglês
ADRIANA F DE PAULA EIRELI - ME;REI DO PERNIL;"23.379.013/0001-19";Empresa Individual (EIRELI);;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;79.740.000;MS;Ivinhema;Ivinhema;AVENIDA BRASIL 370 - GUIRAY ;(67) 9845-4952;;marcos.beck1979@gmail.com;escritorionacional@hotmail.com;;"12.074210.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
ADRIANE CARDOSO RAMOS E CIA LTDA - ME;HOTEL GOIÁS;"10.701.339/0001-79";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;76.490.000;GO;Mara Rosa;Mara Rosa;RUA ESPIRITO SANTO SN QUADRA CT LOTE 21 LOT BENEDITO COELHO FURTADO;(62) 3366-1911;(62) 3366-1911;renataalvesaraujo@hotmail.com.br;;;"09.084899.15.0001-1";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";;
AERO SUSHI COMERCIO DE ALIMENTOS EIRELI - EPP;SUSHILOKO;"23.440.710/0001-38";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Implantação;Restaurantes, Cafeterias e Bares;;71.608.900;DF;Lago Sul;Setor de Habitações Individuais Sul;AEROPORTO INTERNACIONAL JK AE PRACA DE ALIMENTACAO LOJA 05;(61) 9338-0569;(61) 3011-7660;jm.sushiloko@gmail.com;financeiro@sushiloko.com.br;www.sushiloko.com.br;"07.074728.15.0001-7";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;
A. F. DO NASCIMENTO EIRELI - ME;PANCHOS DOGUERIA;"25.277.004/0001-42";Empresa Individual (EIRELI);;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;79.041.340;MS;Campo Grande;Jardim São Lourenço;RUA MARQUÊS DE LAVRADIO, 52 - LOJA 04;(67) 3211-8955;(67) 99978-6914;nataliayahn@hotmail.com;;;"12.082297.15.0001-3";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;
AF & JM COMÉRCIO DE ALIMENTOS LTDA-EPP;SUSHILOKO;"24.450.145/0001-52";Sociedade Empresária;;Empresa de Pequeno Porte;Em Implantação;Restaurantes, Cafeterias e Bares;;72.220.023;DF;Ceilândia;Ceilândia Sul;QNN 2 CONJUNTO C LOTE 4 - CEILÂNDIA - DF;(61) 98502-0824;(61) 99669-8345;joyce_engenharia@hotmail.com;;;"07.079286.15.0001-6";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;
AJP RESTAURANTES LTDA ME;OLD DOG DOGUERIA;"21.980.454/0001-46";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;78.045.008;MT;Cuiabá;Santa Helena;AV. PRESIDENTE JOAQUIM AUGUSTO DA COSTA MARQUES, 913;(65) 9994-0294;;ascon@asconmt.com.br;;;"13.075895.15.0001-3";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";;
A&K RESTAURANTE E BUFFET 187DF LTDA. - ME;A&K RESTAURANTE E BUFFET 187DF LTDA. - ME;"24.283.494/0001-27";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;73.006.050;DF;Sobradinho;Sobradinho;QUADRA 8 COMERCIO LOCAL 19 LOJA 1 E 2;(61) 99989-0386;;adrianosmarques@uol.com.br;keikomiura1965@gmail.com;;"07.079880.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";;
ALFAHOTT DEZENOVE COMERCIO DE ALIMENTOS LTDA - EPP;ALFAHOTT;"23.768.670/0001-58";Sociedade Empresária;;Empresa de Pequeno Porte;Em Implantação;Restaurantes, Cafeterias e Bares;;71.219.900;DF;Guará;Zona Industrial;SAI/SO AREA 6580 LUC 230A, QUIOSQ 157, PARK SHOPPING;(61) 99344-4603;;bru.straub@gmail.com;;;"07.081907.15.0001-8";"5611-2/03-CASA DE DOCES E SALGADOS; SERVIÇO DE ALIMENTAÇÃO (Secundário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";;
ALINE OLIVEIRA SILVA - ME;CASA DE CARNES E MERCEARIA BIG BIFE;"23.723.688/0001-33";Empresário Individual (Não MEI);;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;79.702.000;MS;Culturama;Culturama;RUA JOAQUIM JORGE DE OLIVEIRA Nº 518;(67) 3469-1154;(67) 9630-7974;real.culturama@uol.com.br;dourados@agenciagenese.com.br;;"12.075646.15.0001-6";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";;
ALMEIDA E CARVALHO RESTAURANTE EIRELI;SABOR DO REI;"23.639.850/0001-30";Empresa Individual (EIRELI);;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;72.318.578;DF;Samambaia;Samambaia Norte;QS 406 CONJUNTO H LOTE 06;(61) 9171-5931;;alan_careca@hotmail.com;luanacabana@hotmail.com;;"07.076111.15.0001-6";"5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";;
ALMEIDA & MAFRA RESTAURANTE LTDA - ME;ESTAÇÃO BELÉM;"12.342.664/0001-18";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;70.303.000;DF;Brasília;Asa Sul;ST SCS QD. 03 S/N BLOCO A LOJA 50 ;(61) 98279-8485;;valeriamafra91@gmail.com;;;"07.080294.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
AMOROSO DELICATESSEN LTDA - ME;AMOROSO DELICATESSEN;"26.676.257/0001-51";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;79.750.000;MS;Nova Andradina;Nova Andradina;AV. HILDEBRANDO NENO DE ARAGÃO Nº 304;(67) 99630-2346;(67) 99923-5498;adm@agenciagenese.com.br;;;"12.083394.15.0001-1";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";;
ANDRADA & BATISTA COMÉRCIO ALIMENTICIOS LTDA - ME;DA HORA;"24.719.725/0001-00";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;70.686.600;DF;Brasília;SETOR NOROESTE; Q SHCN/W COMERCIO LOCAL QD. 10/11 BLOCO C LOJA 10 TERREO;(61) 99281-0673;;contato@vlpeconsultoria.com;;;"07.086253.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
A R S COMERCIO DERIVADOS DE PETROLEO LTDA EPP;A R S COMERCIO DERIVADOS DE PETROLEO LTDA EPP;"07.821.098/0002-78";Sociedade Empresária;;Empresa de Pequeno Porte;Em Implantação;Restaurantes, Cafeterias e Bares;;56.909.000;PE;Serra Talhada;São Cristóvão;AVENIDA JOAO GOMES DE LUCENA, N °3099;(87) 3831-4582;;serconsuporte@hotmail.com;;;"16.078813.15.0002-4";"5510-8/01-HOTEL (Primário)";;
ASSIS E PEREIRA PANIFICADORA E CONFEITARIA LTDA -ME;PADARIA DELICIAS DO TRIGO;"23.085.607/0001-17";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;72.130.610;DF;Taguatinga;Taguatinga Norte;QNH 11 LOTE 01 LOJA 01;(61) 3542-3320;;p.deliciasdotrigo@bol.com.br;;;"07.078696.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";;
ATLANTICA HOTELS INTERNATIONAL BRASIL LTDA;ATLANTICA HOTELS;"02.223.966/0091-70";Sociedade Empresária;;Empresa de Pequeno Porte;Em Implantação;Restaurantes, Cafeterias e Bares;Restaurante;74.810.180;GO;Goiânia;Jardim Goiás;RUA 14 QD C 16 LT 12/15;(62) 99981-7160;;ggeral.qgyn@atlanticahotels.com.br;;;"09.000749.15.0091-0";"5510-8/01-HOTEL (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";100;Nenhuma das Opções
ATRE COMÉRCIO DE ALIMENTOS EIRELI - ME;PIZZARIA DONNA MIA;"22.716.699/0001-23";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;71.710.545;DF;Núcleo Bandeirante;Núcleo Bandeirante;AV. SEGUNDA AVENIDA BLOCO (COMÉRCIO) 790 A /880 A;(61) 9966-5783;;karol@colpeconsultorias.com;;;"07.075262.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
ATRIUM COMÉRCIO DE ALIMENTOS LTDA - ME;ATRIUM FAST FOOD;"24.872.399/0001-69";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;70.077.900;DF;Brasília;Asa Norte;SDN SETOR DE DIVERSÕES NORTE CONJ. A LOJA 2036 - B 2 PAVIMENTOS;(61) 3368-6716;;elizabetneves@hotmail.com;;;"07.079284.15.0001-1";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;
AUTO POSTO COSTA EIRELI;AUTO POSTO COSTA EIRELI;"21.553.464/0001-03";Empresa Individual (EIRELI);;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;65.289.000;MA;Maracaçumé;Maracaçumé;AV DAYSE DE SOUSA, 273;(98) 98827-9029;;lagoengenhariama@gmail.com;wdeglan.costa@uol.com.br;;"10.085772.15.0001-1";"5510-8/01-HOTEL (Secundário), 5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";;
BRASILIA LIG LIG ALIMENTOS LTDA - ME;LIG LIG;"23.557.626/0001-07";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;Restaurante;72.600.100;DF;Recanto das Emas;Recanto das Emas;QUADRA 101 LOTE 15 LOJA 01 ;(61) 3323-1212;;rafaelriobistro@gmail.com;;;"07.075704.15.0001-0";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";30;Inglês
BRAZILIAN CAFE COMERCIO EIRELI - ME;BRAZILIAN CAFE;"23.288.812/0001-80";Empresa Individual (EIRELI);;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;78.043.400;MT;Cuiabá;Duque de Caxias II;AV. FILINTO MULLER, 739;(65) 9978-7419;;milamarchioli@yahoo.com.br;;;"13.074606.15.0001-8";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;
BVX COMÉRCIO E SERVIÇOS LTDA - ME;*****;"25.178.414/0001-36";Sociedade Simples;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;Restaurante;70.307.902;DF;Brasília;Asa Sul;LOJA 117L PAVMTO3 SHOP. PÁTIO BRASIL;(61) 98414-5667;;valeriafa85@gmail.com;;;"07.080309.15.0001-5";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";40;Nenhuma das Opções
CACAU CAFÉ CHOCOLATARIA - EIRELI;CHOCOLATARIA BRASILEIRA;"25.196.936/0001-60";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;71.219.900;DF;Guará;Zona Industrial;ST SAI/SO ÁREA 6580 LOJA 117 A TÉRREO;(61) 98157-4443;;contato@volpeconsultoria.com;;;"07.081276.15.0001-7";"5611-2/03-CASA DE SUCO; SERVIÇO DE ALIMENTAÇÃO (Primário)";;
CALDAS GRELHADOS EIRELI - ME;QG PASTEIS;"20.521.029/0001-26";Empresa Individual (EIRELI);;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;75.690.000;GO;Caldas Novas;Caldas Novas;AV ORCALINO SANTOS, SN, QD 11, LT 10, EDIFICIO TERRA BRASIL, SETOR CENTRAL;(62) 3278-3906;;heliborges@contabilidadeeficaz.com;;;"09.074635.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
CASANOVA LOUNGE RESTAURANTE LTDA - EPP;********;"24.416.180/0001-55";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;70.702.030;DF;Brasília;Asa Norte;SHN QUADRA 2 BLOCO C;(61) 98188-2060;;veronicasalinas@hotmail.com.br;;;"07.081297.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
CBM SOLUÇÃO EM ALIMENTAÇÃO LTDA;COZINHA AUTHORAL;"23.859.444/0001-82";Sociedade Empresária;;Empresa de Pequeno Porte;Em Implantação;Restaurantes, Cafeterias e Bares;;70.338.510;DF;Brasília;Asa Sul;SCLS 302B BLOCO A LOJA 10;(61) 98187-7172;;andre@authoral.com;;;"07.079698.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
CELSO GROSSKOPF RIBAS;CGR INCORPORAÇÕES;"15.653.098/0001-53";Microempreendedor Individual (MEI);;Mei;Em Implantação;Restaurantes, Cafeterias e Bares;Restaurante;73.850.000;GO;Cristalina;Cristalina;RUA ALVARO RIBEIRO Nº 735 QD. 02 LT. 14 CENTRO;(61) 3029-7250;;celsogribas@bol.com.br;;;"09.076748.15.0001-2";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";100;Espanhol ,Inglês
CFP CHOCOLATE GOURMET EIRELI - ME;QOY CHOCOLATES;"23.471.971/0001-15";Empresa Individual (EIRELI);;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;71.215.000;DF;Guará;Zona Industrial;SGCV (SETOR DE GARAGENS E CONCESSIONÁRIAS DE VEÍCULOS)-  LOTE 22, SHOPPING CASA PARK, QUIOSQUE 06. G;(61) 98118-3605;;brasilia@qoy.com.br;;;"07.081063.15.0001-8";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";;
CHIOGNA E PRADO LTDA - ME;OX STEAK HOUSE;"28.040.847/0001-19";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;79.826.050;MS;Dourados;Vila Planalto;RUA HAYEL BON FAKER Nº 3745;(67) 99972-0500;(67) 99959-2225;oxsteakhouse1@gmail.com;contato@officinaprojetos.com.br;;"12.087612.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
CHIQUINHO SORVETERIA LTDA - EPP;CHIQUINHO SORVETES CPA ;"23.483.921/0001-58";Empresário Individual (Não MEI);"10/04/2004";Empresa de Pequeno Porte;Em Implantação;Restaurantes, Cafeterias e Bares;Similar;78.050.000;MT;Cuiabá;Bosque da Saúde;AV HISTORIADOR RUBENS DE MENDONÇA, 1805;(65) 9688-0479;(65) 8424-1800;marcelo.avm@gmail.com;;www.harborhoteis.com.br;"13.074768.15.0001-6";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";30;Nenhuma das Opções
COMADRE MARIA RESTAURANTE LTDA - ME;DOM BARÃO;"24.415.458/0001-70";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;79.940.000;MS;Caarapó;Caarapó;AV. BARÃO DO RIO BRANCO, 330 - CENTRO;(67) 99906-6002;(67) 3453-1010;modelocontabilidade_bruno@hotmail.com;;;"12.080978.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
COMERCIAL GIGI LTDA - ME;COMERCIAL GIGI LTDA - ME;"26.262.823/0001-89";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;79.890.000;MS;Itaporã;Itaporã;RUA PEDRO RODRIGUES Nº 65 - CENTRO;(67) 99102-5360;(67) 99973-7547;administrativo@agenciagenese.com.br;fiel@escritoriofiel.com.br;;"12.081884.15.0001-3";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;
COMIDA & ARTE LTDA - ME;COMIDA & ARTE;"23.186.660/0001-04";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;Restaurante;70.865.550;DF;Brasília;Asa Norte;QD. CLN 410 BLOCO E LOJA 09 ;(61) 3201-8899;;alimacta@gmail.com;;;"07.073852.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;Nenhuma das Opções
CONTROLLER COMÉRCIO DE ALIMENTOS LTDA -  EPP;CONTROLLER FAST FOOD;"20.226.669/0001-03";Sociedade Empresária;;Empresa de Pequeno Porte;Em Implantação;Restaurantes, Cafeterias e Bares;Similar;75.701.480;GO;Catalão;Setor Central;AV RAULINA FONSECA PASCHO, 2240, CENTRO;(64) 3411-6121;(64) 3411-6121;tuliocatalao@gmail.com;;www.bobs.com.br;"09.074633.15.0001-5";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";68;Inglês
CONVÉS POUSADA LTDA - EPP;CONVÉS POUSADA;"23.889.634/0001-42";Sociedade Empresária;;Empresa de Pequeno Porte;Em Implantação;Restaurantes, Cafeterias e Bares;Restaurante;57.180.000;AL;Barra de São Miguel;Barra de São Miguel;R. IRAILDO SOUZA VILLELA, 86;(82) 99335-8144;;neidoca.calazans@hotmail.com;;;"02.076713.15.0001-4";"5590-6/99-DORMITÓRIO; SERVIÇO DE ALOJAMENTO (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";40;Nenhuma das Opções
CUMARIM COMERCIO DE ALIMENTOS LTDA - EPP;CUMARIM BURGER GRILL;"26.219.776/0001-90";Sociedade Empresária;;Empresa de Pequeno Porte;Em Implantação;Restaurantes, Cafeterias e Bares;;70.234.530;DF;Brasília;Asa Sul;ST CLS 204 BLOCO C LOJAS 34 E 36 ;(61) 98156-5377;;contato@volpeconsultoria.com.br;;;"07.082192.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
DIE BACKEREI CAFÉ LTDA - ME;******;"27.339.309/0001-67";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;70.200.002;DF;Brasília;Asa Sul;TR SCES TRECHO 02 LOTE 08 LOJA 01;(61) 99991-0330;;contato@volpecondultoria.com;;;"07.086238.15.0001-9";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;
DIVUS ID ALIMENTAÇÃO LTDA ME;GIRAFFAS;"28.413.971/0001-82";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;70.716.900;DF;Brasília;Asa Norte;SCN QUADRA 06 CONJUNTO A 1º SUBSOLO LOJA 04S ED. VENANCIO 3000, SHOPPING ID;(61) 98606-7629;;giraffasidshopping@gmail.com;;;"07.089293.15.0001-4";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;
DOCE BISTRO MONTE CASSINO EIRELLI - ME;*******;"23.896.393/0001-69";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;70.308.000;DF;Brasília;Asa Sul;ST SCS QUADRA 8 Nº 60 BLOCO B LOJA PSS 18 SUBSOLO 2 ASA SUL;(61) 3202-8896;;karol@volpeconsultoria.com;;;"07.076513.15.0001-2";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";;
DOIS IRMÃOS RESTAURANTE LTDA - ME;CAPELLA;"24.689.706/0001-70";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;71.953.000;DF;Taguatinga;Areal (Águas Claras);QD. QS 03 Nº 03 LOTE 19A EPCT LOTE 19B;(61) 98464-4750;;oticasaofrancisco@gmail.com;;;"07.079825.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
EDIGAR DIAS DE MORAIS - EIRELI -ME;TOSCANA MERCADO;"22.590.154/0001-13";Empresa Individual (EIRELI);;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;79.822.500;MS;Dourados;JARDIM DAS PRIMAVERAS;RUA PROJETADA I, 640;(67) 3421-7974;;mercado.toscana@hotmail.com;dourados@agenciagenese.com.br;;"12.074264.15.0001-8";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";;
E. R. HOTELARIA LTDA - ME;HOTEL TRADIÇÃO;"07.050.181/0001-00";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;72.920.000;GO;Alexânia;Alexânia;AVENIDA BRASILIA S/N QD. 63 LT 16 PAVIMENTO SUPERIOR SETOR SUL ;(62) 3336-4446;;engquadros@brturbo.com.br;;;"09.074720.15.0001-2";"5510-8/01-HOTEL COM OU SEM SERVIÇO DE RESTAURANTE (Primário)";;
FAUSTO E MANOEL PONTÃO - RESTAURANTE E CHOPERIA EIRELI - EPP;FAUSTO & MANOEL;"26.645.405/0001-70";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Implantação;Restaurantes, Cafeterias e Bares;;71.630.100;DF;Lago Sul;Setor de Habitações Individuais Sul;SHIS QL 10 PONTÃO SUL LT. 21;(61) 3039-6407;;faustoemanoel@yahoo.com.br;;;"07.083952.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
FBWM COMÉRCIO DE BEBIDAS E ALIMENTOS LTDA;MERCADO 153;"23.400.452/0001-66";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Implantação;Restaurantes, Cafeterias e Bares;;71.608.900;DF;Lago Sul;Setor de Habitações Individuais Sul;ÁREA ESPECIAL RUA S/N PARTE B LOJA S2.05 E S2.14;(61) 99219-7378;;william@mercado153bsb.com.br;;;"07.081415.15.0001-2";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";;
FCL COMÉRCIO DE ALIMENTOS EIRELE - ME;TAPIOCARIA RAIZES DO SERTÃO ;"22.233.102/0001-90";Empresa Individual (EIRELI);;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;70.755.550;DF;Brasília;Asa Norte;Q CLN QD. 309 BLOCO E LOJA 08 ;(61) 3212-5428;(61) 3225-4181;fabiano.pereira@gmail.com;;;"07.075606.15.0001-9";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;
FERNANDA GOERGEN ROWER - ME;CACAU SHOW;"26.263.214/0001-44";Empresário Individual (Não MEI);;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;79.750.000;MS;Nova Andradina;Nova Andradina;AV. ANTONIO JOAQUIM DE MOURA ANDRADE, 1574;(67) 8162-0538;(67) 99322-8553;exame.it@hotmail.com;;;"12.083030.15.0001-8";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";;
FERNANDES & SILVA LTDA - ME;BOCA DE PORCO RESTAURANTE, LANCHONETE E PETISCOS;"23.789.483/0001-50";Sociedade Empresária;;Microempresa;Em Implantação;Restaurantes, Cafeterias e Bares;;79.740.000;MS;Ivinhema;Ivinhema;AVENIDA BRASIL Nº 360 - B. PIRAVEVÊ;(67) 9665-5053;;dalgomir.fiscal@outlook.com;;;"12.075517.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;
